"program";"study_name";"entry_code";"gid";"designation";"seed_source_name";"family_designation";"family_gid";"pedigree_name"
"IRRIGATED SEA";"2014DSBULK";"141U1";4189554;"IR 106224-B";"A13WSC-1";"IR 106224";4010552;"IRRI 156/IR09F436"
"IRRIGATED SEA";"2014DSBULK";"141U2";4189555;"IR 106226-B";"A13WSC-3";"IR 106226";4010554;"HHZ 17-Y16-Y3-SAL1/IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U3";4189556;"IR 106227-B";"A13WSC-4";"IR 106227";4010555;"HHZ 17-Y16-Y3-SAL1/IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U4";4189557;"IR 106228-B";"A13WSC-5";"IR 106228";4010556;"HHZ 17-Y16-Y3-SAL1/IRRI 154"
"IRRIGATED SEA";"2014DSBULK";"141U5";4189558;"IR 106229-B";"A13WSC-6";"IR 106229";4010557;"HHZ 5-DT20-DT2-DT1/IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U6";4189559;"IR 106232-B";"A13WSC-9";"IR 106232";4010560;"PR 35769-B-1-1-2-3-4/IR10F365"
"IRRIGATED SEA";"2014DSBULK";"141U7";4189560;"IR 106233-B";"A13WSC-10";"IR 106233";4010561;"PR 37246-2-3-2-1-1-2-1/IR07A179"
"IRRIGATED SEA";"2014DSBULK";"141U8";4189561;"IR 106234-B";"A13WSC-11";"IR 106234";4010562;"PR 37246-2-3-2-1-1-2-1/IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U9";4189562;"IR 106235-B";"A13WSC-12";"IR 106235";4010563;"PR 37246-2-3-2-1-1-2-1/IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U10";4189563;"IR 106236-B";"A13WSC-13";"IR 106236";4010564;"PR 37246-2-3-2-1-1-2-1/IR10F365"
"IRRIGATED SEA";"2014DSBULK";"141U11";4189564;"IR 106237-B";"A13WSC-14";"IR 106237";4010565;"PR 37704-2B-6-1-2-1-1/IR10F365"
"IRRIGATED SEA";"2014DSBULK";"141U12";4189565;"IR 106241-B";"A13WSC-18";"IR 106241";4010569;"IRRI 119/IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U13";4189566;"IR 106432-B";"A13WMC-209";"IR 106432";4010800;"GSR IR 1-8-S6-S3-Y2/PR 39421-52-28-2-1//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U14";4189567;"IR 106433-B";"A13WMC-210";"IR 106433";4010801;"GSR IR 1-8-S6-S3-Y2/IR10C168// 12DS-GMET-22"
"IRRIGATED SEA";"2014DSBULK";"141U15";4189568;"IR 106434-B";"A13WMC-211";"IR 106434";4010802;"IR 50/PSB RC 10 (IR 50404-57-2-2-3)//PR 30245-10-414"
"IRRIGATED SEA";"2014DSBULK";"141U16";4189569;"IR 106435-B";"A13WMC-212";"IR 106435";4010803;"OM 4498/GIZA 178//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U17";4189570;"IR 106436-B";"A13WMC-213";"IR 106436";4010804;"OM 4498/GIZA 178//IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U18";4189571;"IR 106437-B";"A13WMC-214";"IR 106437";4010805;"OM 4498/GIZA 178//IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U19";4189572;"IR 106438-B";"A13WMC-215";"IR 106438";4010806;"OM 4498/GIZA 178//PR 35769-B-1-1-2-3-4"
"IRRIGATED SEA";"2014DSBULK";"141U20";4189573;"IR 106439-B";"A13WMC-216";"IR 106439";4010807;"OM 4498/N 22//IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U21";4189574;"IR 106440-B";"A13WMC-217";"IR 106440";4010808;"OM 4498/N 22//IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U22";4189575;"IR 106441-B";"A13WMC-218";"IR 106441";4010809;"OM 4498/N 22//PR 35769-B-1-1-2-3-4"
"IRRIGATED SEA";"2014DSBULK";"141U23";4189576;"IR 106442-B";"A13WMC-219";"IR 106442";4010810;"IR09A228/PR 37866-1B-1-4//IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U24";4189577;"IR 106443-B";"A13WMC-220";"IR 106443";4010811;"IR09A228/IR08N136//IR10F336"
"IRRIGATED SEA";"2014DSBULK";"141U25";4189578;"IR 106444-B";"A13WMC-221";"IR 106444";4010812;"IR09A228/PR 37951-3B-37-1-2//IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U26";4189579;"IR 106445-B";"A13WMC-222";"IR 106445";4010813;"IR10N304/GSR IR 1-5-D20-D2-D1//HHZ 8-SAL 6-SAL 3-Y2"
"IRRIGATED SEA";"2014DSBULK";"141U27";4189580;"IR 106446-B";"A13WMC-223";"IR 106446";4010814;"IR04A115/PR 30245-10-414//IR09F436"
"IRRIGATED SEA";"2014DSBULK";"141U28";4189581;"IR 106447-B";"A13WMC-224";"IR 106447";4010815;"IR05N412/PR 37921-B-3-2-2//IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U29";4189582;"IR 106448-B";"A13WMC-225";"IR 106448";4010816;"IR 28/NSIC RC 158//IR09F436"
"IRRIGATED SEA";"2014DSBULK";"141U30";4189583;"IR 106449-B";"A13WMC-226";"IR 106449";4010817;"IRRI 123/FEDEARROZ 2000//PR 37866-1B-1-4"
"IRRIGATED SEA";"2014DSBULK";"141U31";4189584;"IR 106450-B";"A13WMC-227";"IR 106450";4010818;"IRRI 149/FEDEARROZ 473//IR10F336"
"IRRIGATED SEA";"2014DSBULK";"141U32";4189585;"IR 106451-B";"A13WMC-228";"IR 106451";4010819;"PR 36921-B-6-1-3-4/IRRI 154//PR 37942-3B-5-3-2"
"IRRIGATED SEA";"2014DSBULK";"141U33";4189586;"IR 106452-B";"A13WMC-229";"IR 106452";4010820;"PR 36921-B-6-1-3-4/IRRI 154//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U34";4189587;"IR 106453-B";"A13WMC-230";"IR 106453";4010821;" 12DS-GMET-9/IR06N209//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U35";4189588;"IR 106454-B";"A13WMC-231";"IR 106454";4010822;"PR 37921-B-3-4-2-1-2/IRRI 145//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U36";4189589;"IR 106455-B";"A13WMC-232";"IR 106455";4010823;" 12DS-GMET-9/IR 72102-4-159-1-3-3-3 (NSIC RC 112)//PR 35769-B-1-1-2-3-4"
"IRRIGATED SEA";"2014DSBULK";"141U37";4189590;"IR 106456-B";"A13WMC-233";"IR 106456";4010824;"PR 37921-B-3-4-2-1-2/IRRI 158//PR 30245-10-414"
"IRRIGATED SEA";"2014DSBULK";"141U38";4189591;"IR 106457-B";"A13WMC-234";"IR 106457";4010825;"PR 37951-3B-37-1-2/IR09N496//IR09F436"
"IRRIGATED SEA";"2014DSBULK";"141U39";4189592;"IR 106458-B";"A13WMC-235";"IR 106458";4010826;" 12DS-GMET-9/IRRI 145//PR 37942-3B-5-3-2"
"IRRIGATED SEA";"2014DSBULK";"141U40";4189593;"IR 106459-B";"A13WMC-236";"IR 106459";4010827;"ZH 1/IR08N210//IR09A228"
"IRRIGATED SEA";"2014DSBULK";"141U41";4189594;"IR 106460-B";"A13WMC-237";"IR 106460";4010828;"GSR IR 1-1-Y4-Y1/IR10F339//IR06N119"
"IRRIGATED SEA";"2014DSBULK";"141U42";4189595;"IR 106461-B";"A13WMC-238";"IR 106461";4010829;"IR06A144/IR10F365//IR06N119"
"IRRIGATED SEA";"2014DSBULK";"141U43";4189596;"IR 100053-B";"A12WSC-74";"IR 100053";3731548;"IR08A172/IRRI 123"
"IRRIGATED SEA";"2014DSBULK";"141U44";4189597;"IR 100055-B";"A12WSC-76";"IR 100055";3731550;"IR08A172/IR07N112"
"IRRIGATED SEA";"2014DSBULK";"141U45";4189598;"IR 100056-B";"A12WSC-77";"IR 100056";3731551;"IR08A172/IR09N200"
"IRRIGATED SEA";"2014DSBULK";"141U46";4189599;"IR 100057-B";"A12WSC-78";"IR 100057";3731552;"IR08A172/IR09M105"
"IRRIGATED SEA";"2014DSBULK";"141U47";4189600;"IR 100058-B";"A12WSC-79";"IR 100058";3731553;"IR08A172/IR10M245"
"IRRIGATED SEA";"2014DSBULK";"141U48";4189601;"IR 100059-B";"A12WSC-80";"IR 100059";3731554;"IR08A172/IR10M108"
"IRRIGATED SEA";"2014DSBULK";"141U49";4189602;"IR 100078-B";"A12WSC-99";"IR 100078";3731573;"IR09A136/IR07N112"
"IRRIGATED SEA";"2014DSBULK";"141U50";4189603;"IR 100079-B";"A12WSC-100";"IR 100079";3731574;"IR09A136/IR09N200"
"IRRIGATED SEA";"2014DSBULK";"141U51";4189604;"IR 100080-B";"A12WSC-101";"IR 100080";3731575;"IR09A136/IR09M105"
"IRRIGATED SEA";"2014DSBULK";"141U52";4189605;"IR 100081-B";"A12WSC-102";"IR 100081";3731576;"IR09A136/IR10M245"
"IRRIGATED SEA";"2014DSBULK";"141U53";4189606;"IR 103735-B";"A13DMC-489";"IR 103735";3891587;"IR09N542/IRRI 154//IR12T217"
"IRRIGATED SEA";"2014DSBULK";"141U54";4189607;"IR 103736-B";"A13DMC-490";"IR 103736";3891588;"IR09N542/IR07N112//PR 35786-B-3-3-2-1-1"
"IRRIGATED SEA";"2014DSBULK";"141U55";4189608;"IR 100089-B";"A12WSC-110";"IR 100089";3731584;"IR09N542/MILYANG 23"
"IRRIGATED SEA";"2014DSBULK";"141U56";4189609;"IR 100090-B";"A12WSC-111";"IR 100090";3731585;"IR09N542/IR07N112"
"IRRIGATED SEA";"2014DSBULK";"141U57";4189610;"IR 100091-B";"A12WSC-112";"IR 100091";3731586;"IR09N542/IR09N200"
"IRRIGATED SEA";"2014DSBULK";"141U58";4189611;"IR 100092-B";"A12WSC-113";"IR 100092";3731587;"IR09N542/IR09M105"
"IRRIGATED SEA";"2014DSBULK";"141U59";4189612;"IR 100093-B";"A12WSC-114";"IR 100093";3731588;"IR09N542/IR10M245"
"IRRIGATED SEA";"2014DSBULK";"141U60";4189613;"IR 103737-B";"A13DMC-491";"IR 103737";3891589;"IR09N542/IR09N200//PR 37951-3B-37-1-2"
"IRRIGATED SEA";"2014DSBULK";"141U61";4189614;"IR 100095-B";"A12WSC-116";"IR 100095";3731590;"IR09N542/IR10M108"
"IRRIGATED SEA";"2014DSBULK";"141U62";4189615;"IR 100704-B";"A12WMC-725";"IR 100704";3732199;"IR07A234/IRRI 123//IR06A150"
"IRRIGATED SEA";"2014DSBULK";"141U63";4189616;"IR 100705-B";"A12WMC-726";"IR 100705";3732200;"IR07A266/IR 42//IR06A150"
"IRRIGATED SEA";"2014DSBULK";"141U64";4189617;"IR 100707-B";"A12WMC-728";"IR 100707";3732202;"IR08A176/IRRI 154//IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U65";4189618;"IR 100708-B";"A12WMC-729";"IR 100708";3732203;"IR03N137/IR 42//IRRI 151"
"IRRIGATED SEA";"2014DSBULK";"141U66";4189619;"IR 100710-B";"A12WMC-731";"IR 100710";3732205;"IR08A176/IRRI 123//IR09A136"
"IRRIGATED SEA";"2014DSBULK";"141U67";4189620;"IR 100711-B";"A12WMC-732";"IR 100711";3732206;"IR08A192/IRRI 123//IR09N542"
"IRRIGATED SEA";"2014DSBULK";"141U68";4189621;"IR 100713-B";"A12WMC-734";"IR 100713";3732208;"IR08N128/IRRI 154//IR06A150"
"IRRIGATED SEA";"2014DSBULK";"141U69";4189622;"IR 100729-B";"A12WMC-750";"IR 100729";3732224;"IR09A133/IRRI 123//IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U70";4189623;"IR 100731-B";"A12WMC-752";"IR 100731";3732226;"IR09N106/IR05N412//IR08A176"
"IRRIGATED SEA";"2014DSBULK";"141U71";4189624;"IR 100739-B";"A12WMC-760";"IR 100739";3732234;"IR09N496/IRRI 154//IR08A172"
"IRRIGATED SEA";"2014DSBULK";"141U72";4189625;"IR 100741-B";"A12WMC-762";"IR 100741";3732236;"IR09N496/IRRI 123//IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U73";4189626;"IR 100742-B";"A12WMC-763";"IR 100742";3732237;"IR09N508/NSIC RC 158//IR09N542"
"IRRIGATED SEA";"2014DSBULK";"141U74";4189627;"IR 100746-B";"A12WMC-767";"IR 100746";3732241;"IR09N520/IRRI 154//IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U75";4189628;"IR 100748-B";"A12WMC-769";"IR 100748";3732243;"IR09N523/IRRI 123//IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U76";4189629;"IR 103298-B";"A13DSC-45";"IR 103298";3890282;"PR 30245-10-414/IR08N210"
"IRRIGATED SEA";"2014DSBULK";"141U77";4189630;"IR 103300-B";"A13DSC-47";"IR 103300";3890284;"PR 35786-B-3-3-2-1-1/IR08N210"
"IRRIGATED SEA";"2014DSBULK";"141U78";4189631;"IR 103309-B";"A13DSC-56";"IR 103309";3890293;"PR 37139-3-1-3-1-2-1/IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U79";4189632;"IR 103310-B";"A13DSC-57";"IR 103310";3890294;"PR 37139-3-1-3-1-2-1/IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U80";4189633;"IR 103313-B";"A13DSC-60";"IR 103313";3890297;"PR 35769-B-37-3-1-2-1/IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U81";4189634;"IR 103319-B";"A13DSC-66";"IR 103319";3890303;"PR 37275-7-30-8-1-1-2-2-2/IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U82";4189635;"IR 103324-B";"A13DSC-71";"IR 103324";3890308;"PR 37866-1B-1-4/IR08N210"
"IRRIGATED SEA";"2014DSBULK";"141U83";4189636;"IR 103334-B";"A13DSC-81";"IR 103334";3890318;"PR 37942-3B-5-3-2/IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U84";4189637;"IR 103336-B";"A13DSC-83";"IR 103336";3890320;"PR 37942-3B-5-3-2/IR05N412"
"IRRIGATED SEA";"2014DSBULK";"141U85";4189638;"IR 103704-B";"A13DMC-458";"IR 103704";3891556;"IR06A150/IR09M105//PR 37951-3B-37-1-2"
"IRRIGATED SEA";"2014DSBULK";"141U86";4189639;"IR 103705-B";"A13DMC-459";"IR 103705";3891557;"IR06A150/IR10M245//PR 30245-10-414"
"IRRIGATED SEA";"2014DSBULK";"141U87";4189640;"IR 103706-B";"A13DMC-460";"IR 103706";3891558;"IR06A150/IR10M108//PR 37921-B-3-2-2"
"IRRIGATED SEA";"2014DSBULK";"141U88";4189641;"IR 103715-B";"A13DMC-469";"IR 103715";3891567;"IR06N234/MILYANG 23//IR04A115"
"IRRIGATED SEA";"2014DSBULK";"141U89";4189642;"IR 103719-B";"A13DMC-473";"IR 103719";3891571;"IR08A172/NSIC RC 158//PR 37951-3B-37-1-2"
"IRRIGATED SEA";"2014DSBULK";"141U90";4189643;"IR 103720-B";"A13DMC-474";"IR 103720";3891572;"IR08A172/IRRI 154//PR 37275-7-14-5-1-2-2-1-2"
"IRRIGATED SEA";"2014DSBULK";"141U91";4189644;"IR 103721-B";"A13DMC-475";"IR 103721";3891573;"IR08A172/IRRI 123//PR 37866-1B-1-4"
"IRRIGATED SEA";"2014DSBULK";"141U92";4189645;"IR 103722-B";"A13DMC-476";"IR 103722";3891574;"IR08A172/IR09M105//IR09N500"
"IRRIGATED SEA";"2014DSBULK";"141U93";4189646;"IR 103725-B";"A13DMC-479";"IR 103725";3891577;"IR09A136/NSIC RC 158//PR 37866-1B-1-4"
"IRRIGATED SEA";"2014DSBULK";"141U94";4189647;"IR 103726-B";"A13DMC-480";"IR 103726";3891578;"IR09A136/IRRI 154//IR09N522"
"IRRIGATED SEA";"2014DSBULK";"141U95";4189648;"IR 103727-B";"A13DMC-481";"IR 103727";3891579;"IR09A136/PSB RC 10 (IR 50404-57-2-2-3)//IR10F388"
"IRRIGATED SEA";"2014DSBULK";"141U96";4189649;"IR 103728-B";"A13DMC-482";"IR 103728";3891580;"IR09A136/IRRI 123//PR 37275-7-14-5-1-2-2-1-2"
"IRRIGATED SEA";"2014DSBULK";"141U97";4189650;"IR 103729-B";"A13DMC-483";"IR 103729";3891581;"IR09A136/IR07N112//IR10N108"
"IRRIGATED SEA";"2014DSBULK";"141U98";4189651;"IR 103730-B";"A13DMC-484";"IR 103730";3891582;"IR09A136/IR09M105//IR08N136"
"IRRIGATED SEA";"2014DSBULK";"141U99";4189652;"IR 103731-B";"A13DMC-485";"IR 103731";3891583;"IR09A136/IR10M245//IR10N108"
"IRRIGATED SEA";"2014DSBULK";"141U100";4189653;"IR 103733-B";"A13DMC-487";"IR 103733";3891585;"IR09A136/IR10M108//PSB RC 10 (IR 50404-57-2-2-3)"
"IRRIGATED SEA";"2013WSBULK";"A140580";4039548;"IR 103254";"A13DSC-1";"IR 103254";3890449;"12DS-GMET-22/IR08N136"
"IRRIGATED SEA";"2013WSBULK";"A140581";4039549;"IR 103255";"A13DSC-2";"IR 103255";3890450;"12DS-GMET-22/IR 59682-132-1-1-2 (PSB RC 52)"
"IRRIGATED SEA";"2013WSBULK";"A140582";4039550;"IR 103256";"A13DSC-3";"IR 103256";3890451;"12DS-GMET-22/IRRI 156"
"IRRIGATED SEA";"2013WSBULK";"A140583";4039551;"IR 103257";"A13DSC-4";"IR 103257";3890452;"12DS-GMET-3/IRRI 151"
"IRRIGATED SEA";"2013WSBULK";"A140584";4039552;"IR 103258";"A13DSC-5";"IR 103258";3890453;"12DS-GMET-3/IR05N419"
"IRRIGATED SEA";"2013WSBULK";"A140585";4039553;"IR 103259";"A13DSC-6";"IR 103259";3890454;"12DS-GMET-9/IR06N209"
"IRRIGATED SEA";"2013WSBULK";"A140586";4039554;"IR 103260";"A13DSC-7";"IR 103260";3890455;"12DS-GMET-9/IR 71606-1-1-4-2-3-1-2 (NSIC 110"
"IRRIGATED SEA";"2013WSBULK";"A140587";4039555;"IR 103261";"A13DSC-8";"IR 103261";3890456;"12DS-GMET-9/IR 72102-4-159-1-3-3-3 (NSIC RC 112)"
"IRRIGATED SEA";"2013WSBULK";"A140588";4039556;"IR 103262";"A13DSC-9";"IR 103262";3890457;"12DS-GMET-9/IRRI 145"
"IRRIGATED SEA";"2013WSBULK";"A140589";4039557;"IR 103263";"A13DSC-10";"IR 103263";3890458;"HHZ 8-SAL 6-SAL 3-Y2/PR 39421-52-28-2-1"
"IRRIGATED SEA";"2013WSBULK";"A140590";4039558;"IR 103264";"A13DSC-11";"IR 103264";3890459;"HHZ 8-SAL 6-SAL 3-Y2/IR10C168"
"IRRIGATED SEA";"2013WSBULK";"A140591";4039559;"IR 103265";"A13DSC-12";"IR 103265";3890460;"HHZ 8-SAL 6-SAL 3-Y2/PR 37171-1-1-1-2-1-1-1"
"IRRIGATED SEA";"2013WSBULK";"A140592";4039560;"IR 103266";"A13DSC-13";"IR 103266";3890461;"IR06M150/PR 35786-B-3-3-2-1-1"
"IRRIGATED SEA";"2013WSBULK";"A140593";4039561;"IR 103267";"A13DSC-14";"IR 103267";3890462;"IR06M150/PR 37951-3B-37-1-2"
"IRRIGATED SEA";"2013WSBULK";"A140594";4039562;"IR 103268";"A13DSC-15";"IR 103268";3890463;"IR06N119/PR 37171-1-1-1-2-1-1-1"
"IRRIGATED SEA";"2013WSBULK";"A140595";4039563;"IR 103269";"A13DSC-16";"IR 103269";3890464;"IR06N119/PR 37942-3B-5-1-1"
"IRRIGATED SEA";"2013WSBULK";"A140596";4039564;"IR 103270";"A13DSC-17";"IR 103270";3890465;"IR07A179/PR 39421-52-28-2-1"
"IRRIGATED SEA";"2013WSBULK";"A140597";4039565;"IR 103271";"A13DSC-18";"IR 103271";3890466;"IR07A179/PR 37942-3B-5-1-1"
"IRRIGATED SEA";"2013WSBULK";"A140598";4039566;"IR 103272";"A13DSC-19";"IR 103272";3890467;"IR09A228/PR 37866-1B-1-4"
"IRRIGATED SEA";"2013WSBULK";"A140599";4039567;"IR 103273";"A13DSC-20";"IR 103273";3890468;"IR09A228/IR04A115"
"IRRIGATED SEA";"2013WSBULK";"A140600";4039568;"IR 103274";"A13DSC-21";"IR 103274";3890469;"IR09A228/IR08N136"
"IRRIGATED SEA";"2013WSBULK";"A140601";4039569;"IR 103275";"A13DSC-22";"IR 103275";3890259;"IR09A228/IR08N136"
"IRRIGATED SEA";"2013WSBULK";"A140602";4039570;"IR 103276";"A13DSC-23";"IR 103276";3890260;"IR09A228/PR 37951-3B-37-1-2"
"IRRIGATED SEA";"2013WSBULK";"A140603";4039571;"IR 103277";"A13DSC-24";"IR 103277";3890261;"IR10A134/PR 37171-1-1-1-2-1-1-1"
