"id";"abbrev";"name";"type";"description"
1;"RGA_PROCESS_PATH";"RGA Process Path";40;"RGA Process Path"
2;"THIS_IS_A_TEST_ITEM_1";"This is a test item";10;
3;"THIS_IS_A_TEST_ITEM_2";"this is a test item";10;
4;"THIS_IS_A_TEST_ITEM_3";"This is a test item";10;
5;"CROSS_CUTTING_R&D_LANDING_PAGE";"Cross Cutting R&D Landing Page";10;"Landing page for CCR&D module"
6;"VIEW_RGA_CROSSCUTTING_LANDING_PAGE";"View RGA Crosscutting Landing Page";10;
7;"BROWSE_USERS";"Browse users";10;
8;"CREATE_RGA PLAN";"Create RGA Plan";20;
9;"SUBMIT RGA PLAN TO PROCESS OWNER";"Submit RGA Plan to Process Owner";20;
10;"PREPARE_MATERIALS FOR RGA; SEND TO PROCESS SUPERVISOR";"Prepare Materials for RGA; Send to Process Supervisor";20;"RGA process"
11;"CREATE_PROGENY_LIST";"Create Progeny List";20;"1. This is a subtask of  Create RGA Plan."
12;"PLAN_& PREPARE ACTIVITY RGA";"Plan & Prepare activity RGA";30;"This is under RGA."
13;"DEFINE_SEED SOURCE";"Define Seed Source";10;"Under subtask   Create Entry List."
14;"DEFINE_NO. OF GENERATION IN RGA";"Define No. of Generation in RGA";10;"Under RGA subtask  2) Define Line Development Scheme"
15;"SET_TARGET NO. OF PLANTS";"Set Target No. of Plants";10;"Under RGA subtask 2.)Define Line Development Scheme"
16;"RECEIVE_RGA PLAN FROM PROCESS CUSTOMER";"Receive RGA Plan from Process Customer";20;"By PO...Under RGA"
17;"DEFINE_LINE DEVELOPMENT SCHEME";"Define Line Development Scheme";20;"Subtask under Create RGA Plan"
18;"RELAY_RGA PLAN TO PROCESS SUPERVISOR; SEEK FEEDBACK";"Relay RGA Plan to Process Supervisor; Seek Feedback";20;"Subtask of  Receive RGA Plan from Process Customer"
19;"ACCEPT_RGA PLAN FROM PROCESS CUSTOMER";"Accept RGA Plan from Process Customer";20;"RGA"
20;"ACCEPT_RGA PLAN";"Accept RGA plan";20;"Subtask of Accept RGA Plan from Process Customer"
21;"_RETURN ACCEPTED RGA PLAN TO PC";"Return Accepted RGA Plan to PC";20;"Subtask of Accept RGA Plan from Process Customer"
22;"CREATE_RGA PRODUCTION PLAN";"Create RGA Production Plan";20;"Subtask of  Accept RGA Plan from Process Customer"
23;"DEFINE_ENTRY LIST";"Define Entry List";10;"Step of  Create RGA Production Plan"
24;"SEND_ACCEPTED RGA PLAN AND RGA PRODUCTION PLAN TO PS";"Send Accepted RGA Plan and RGA Production Plan to PS";20;
25;"RECEIVE_RGA PLAN (FROM PC VIA PO)";"Receive RGA Plan (from PC via PO)";20;
26;"SEND_FEEDBACK";"Send Feedback";20;"Subtask of   Receive RGA Plan (from PC via PO)"
27;"RECEIVE_RGA MATERIALS FROM PC";"Receive RGA Materials from PC";20;
28;"RECEIVE_RGA PLAN FROM PC";"Receive RGA Plan from PC";20;"Subtask of Receive RGA Materials from PC"
29;"RECEIVE_RGA SEEDS AND/OR SEEDLINGS FROM PC";"Receive RGA seeds and/or seedlings from PC";20;"Subtask of Receive RGA Materials from PC"
30;"COMPLETE_RGA PRODUCTION PLAN";"Complete RGA Production Plan";20;
31;"RECEIVE_RGA PRODUCTION PLAN FROM PO";"Receive RGA Production Plan from PO";20;"Subtask of  Complete RGA Production Plan
Shows the browser of received RGA Production Plan"
32;"COMPLETE_RGA POPULATION METADATA";"Complete RGA Population Metadata";20;"Subtask of Complete RGA Production Plan"
33;"DEFINE_CONTAINER TYPE";"Define Container Type";10;"Step of  Complete RGA Population Metadata"
34;"SET_NUMBER OF CONTAINERS FOR EACH ENTRY";"Set number of containers for each entry";10;"b. Step of Complete RGA Population Metadata"
35;"DEFINE_SCHEDULE OF RGA ACTIVITIES";"Define Schedule of RGA activities";10;"3rd step of Complete RGA Population Metadata"
36;"DEFINE_RGA TREATMENTS";"Define RGA Treatments";10;"4th step of Complete RGA Population Metadata"
37;"PREPARE_MATERIALS TO SEND TO EXPERIENCED TEAM MEMBER";"Prepare Materials to send to Experienced Team Member";20;"Under RGA"
38;"RECEIVE_MATERIALS FROM PROCESS SUPERVISOR";"Receive Materials from Process Supervisor";20;"Under RGA"
39;"START_RGA";"Start RGA";20;"RGA"
40;"PREPARE_CONTAINERS";"Prepare Containers";20;"Subtask of Start RGA"
41;"SEEDING";"Seeding";20;"Under Start RGA"
42;"RECEIVE_MATERIALS FROM PROCESS SUPERVISOR_deleted_by_aflores";"Receive Materials from Process Supervisor";20;"Under RGA"
43;"VIEW_PIPELINE_LANDING_PAGE";"View Pipeline Landing Page";10;
44;"BROWSE_PROGENY_LIST_CROSSCUTTING";"Browse Progeny list Crosscutting";10;"By the PS/PO"
45;"VIEW_PROFILE";"View Profile";10;"View own user profile"
46;"HARVEST";"Harvest";20;
47;"BROWSE_THE_WHAT'S_NEW_PAGE";"Browse the what's new page";10;
48;"VIEW_THE_IRRIGATED_SEA_PIPELINE";"View the Irrigated SEA Pipeline";10;"View the Irrigated South East Asia Pipeline landing page."
49;"CREATE_PROGENY_LIST_ADDITIONAL_INFO";"Create Progeny List Additional Info";10;
50;"CREATE_PROGENY_LIST_PREVIEW";"Create Progeny List Preview";10;
51;"BROWSE_PROGENY_LIST_PIPELINE";"Browse Progeny List Pipeline";10;"This is the RGA progeny list browser accessible to the pipeline team members...all the roles."
52;"BREAKING_SEED_DORMANCY";"Breaking Seed Dormancy";20;"In RGA crosscutting group"
53;"SELECTION_OF_PROGENIES_TO_BE_HARVESTED";"Selection of progenies to be harvested";10;"Under harvest task."
54;"BROWSE_RGA_PRODUCTION_PLAN";"Browse RGA Production Plan";10;"See the data browser about production plan."
55;"UPDATE_PROGENY_LIST_PIPELINE";"Update Progeny List Pipeline";10;"Update or edit the pipeline progeny list.
-This is by the PC."
56;"UPDATE_RGA_PROGENY_LIST_BASIC_INFORMATION_";"Update RGA Progeny List Basic Information ";10;"This is in Pipeline by PC."
57;"UPDATE_RGA_PROGENY_LIST_SPECIFY_ENTRIES";"Update RGA Progeny List Specify Entries";10;"By PC in the pipeline"
58;"UPDATE_RGA_PROGENY_LIST_SEED_STOCKS";"Update RGA Progeny List Seed Stocks";10;"By PC in the pipeline"
59;"UPDATE_RGA_PROGENY_LIST_LINE_DEV._SCHEME";"Update RGA Progeny List Line Dev. Scheme";10;"By PC in pipeline"
60;"UPDATE_RGA_PROGENY_LIST_ADDITIONAL_INFORMATION";"Update RGA Progeny List Additional Information";10;"By PC in pipeline"
61;"UPDATE_RGA_PROGENY_LIST_PREVIEW";"Update RGA Progeny List Preview";10;"By PC in pipeline"
62;"BROWSE_PIPELINE_PRODUCTION_PLAN";"Browse Pipeline Production Plan";10;"By PC in pipeline"
63;"UPDATE_PRODUCTION_PLAN_CROSSCUTTING";"Update Production Plan Crosscutting";10;"This is By PO."
64;"DRYING_TASK";"Drying Task";20;
