"id";"name";"value";"description";"is_void"
1;"select_pagesize";"Select pagesize";"Tooltip for selecting page size";"False"
2;"tooltip_name";"Name of the tooltip used by the developers in the system. Test update.";;"False"
3;"tooltip_value";"Value of the tooltip displayed in the system";;"False"
5;"tooltip_description";"Description of the tooltip";;"False"
6;"progeny_list_status_po";"Status of the progeny list. If the status is NEW, you may click on the entry to change its status to ACCEPTED.";;"False"
7;"progeny_list_accept_po";"Click here to change the status of this progeny list to ACCEPTED.";;"False"
8;"instruction_name";"Name of the instruction used by the developers in the system";;"False"
9;"instruction_value";"Value of the instruction displayed in the system";;"False"
10;"instruction_description";"Description of the instruction";;"False"
11;"pipeline_module_select";"Click to select pipeline";;"False"
12;"ccrd_module_select";"Click to select Cross Cutting activity";;"False"
13;"progeny_list_name";"User-readable identifier of the progeny list.";;"False"
14;"progeny_list_no_of_progenies";"Total number of active progenies included in the progeny list.";;"False"
15;"progeny_list_location";"Location where the study is being conducted.";;"False"
16;"progeny_list_year";"Year when the study was started.";;"False"
17;"progeny_list_season";"Season when the study was started.";;"False"
18;"progeny_list_author";"User who created the progeny list.";;"False"
19;"save_filter";"Click to save current filter/s";;"False"
20;"user_email";"Email of the user";"Email address of the user. This should be @irri.org.";"False"
21;"username";"Username of the user";;"False"
22;"user_first_name";"First name of the user";;"False"
23;"user_last_name";"Last name of the user";;"False"
24;"user_middle_name";"Middle name of the user";;"False"
25;"user_valid_start_date";"Valid start date of the user";;"False"
26;"user_valid_end_date";"Valid end date or expiry date of the user.";;"False"
27;"user_is_void";"To know if the user is disabled...true or false";;"False"
28;"user_display_name";"The display name of the user";;"False"
29;"user_status";"The status of the user";;"False"
30;"user_type";"The type of user ";"The options are admin or non-admin only. Note: Admin can do all the tasks and can use all the tools in the system while the non-admin can do tasks based on role and permissions .";"False"
31;"clear_filter";"Click to clear all current filter/s";;"False"
32;"test";"test
";;"False"
35;"team_abbrev";"Abbreviation of team name";;"False"
36;"team_leader";"The leader of the team";;"False"
37;"team_desc";"Team description";;"False"
38;"team_is_void";"To know if team is disabled... true or false";;"False"
39;"team_name";"The name of the team";;"False"
40;"item_name";"Name of the item";"Item can be process,activity,task,step";"False"
41;"item_abbrev";"Abbreviation of the item";;"False"
42;"item_type";"Type of the item";"Indicates if step,task,activity,process.";"False"
43;"item_is_void";"To know if the item is disabled...true or false";"True means the item is not active or considered deleted. False otherwise.";"False"
44;"item_desc";"Description of the item";;"False"
45;"role_name";"The name of the role";;"False"
46;"role_abbrev";"The abbreviation of the role";;"False"
47;"role_rank";"Rank of the role";;"False"
48;"role_display_name";"Display name of the role";;"False"
49;"role_desc";"Description of the role";;"False"
50;"progeny_list_currentgeneration";"The current filial generation of the progenies in the Progeny List.";;"False"
51;"progeny_list_target_generation";"The maximum target generation of the Progeny List.";;"False"
52;"break_seed_dormancy";"Click the link to update the Breaking Seed Dormancy Task. (Green labeled 'A' is the actual values. Orange labeled 'P' is the planned values)";;"False"
53;"progeny_harvest_date";"The value preceded by the green labeled 'P'  is the planned harvest date  and the value preceded by orange labeled 'A' is the  actual harvest date in the production plan of the Progeny List.";;"False"
54;"progeny_seeding_date";"The value preceded by the green labeled 'P' is the planned seeding date and the value preceded by orange labeled ' A' is the actual seeding date in the production plan of the Progeny List.";;"False"
55;"progeny_treatments";"Click the link to update the Treatments Task. (Green labeled 'A' is the actual values. Orange labeled 'P' is the planned values)";;"False"
56;"progeny_container_mgt";"Click the link to update the Container Management Task. (Green labeled 'A' is the actual values. Orange labeled 'P' is the planned values)";;"False"
57;"team_type";"Type of team";"Options are pipeline,crosscutting and   others. See the pipeline_team table for the pipeline teams and crosscutting_team table for the crosscutting team details.";"False"
58;"role_is_void";"Is role disabled? true or false";;"False"
59;"team_member_role";"Role of the team member";"This is the display name of the role id.";"False"
60;"team_member";"Team Member";"Counter part display name for the member user id.";"False"
61;"progeny_entry_name";"User-readable identifier of a progeny.";;"False"
62;"progeny_no_of_generation";"Progeny's duration in the RGA.";;"False"
63;"progeny_no_of_plants";"Target no. of plants at the end of the RGA.";;"False"
64;"progeny_current_generation";"The current filial generation of the progeny.";;"False"
65;"progeny_target_generation";"The maximum target generation for a progeny.";;"False"
77;"seed_stock_name";"Seed source where the progeny will be coming from.";;"False"
78;"seed_stock_volume_available";"Amount of seeds that are usable.";;"False"
79;"seed_stock_volume_used";"Amount of seeds to be used.";;"False"
80;"seed_stock_status";"Indicator for availability of the seed source.";;"False"
81;"production_plan_status";"Indicates whether the RGA team has already created a production plan for at least one progeny in the list.";;"False"
82;"study_start_date";"Date when work on the study officially started.";;"False"
83;"program";"Consist of variety development pipelines (VDPs), trait development teams and cross-cutting activities (CCRDs).";;"False"
84;"progeny_list_unaccept_po";"Click here to change the status of this progeny list to NEW.";;"False"
87;"production_plan_name";"Name of the production plan where the progeny belongs.";;"False"
88;"last_task_done";"Shows the last task done in a progeny in the production plan. Click to show all the tasks done.";;"False"
89;"change_log_name";"The name of the feature/change done.";;"False"
90;"change_log_description";"The description of the feature/change.";;"False"
91;"change_log_key_person";"The key person or the person in charge of the feature/change";;"False"
92;"change_log_date_done";"The date when the feature is considered done.";;"False"
93;"change_log_is_void";"If the feature/change is marked as deleted.";;"False"
94;"progenies_without_prod_plan";"Number of progenies in the progeny list without production plan.";;"False"
95;"target_no_of_plants";"Target number of plants of the progeny.";;"False"
96;"rga_selection_status";"Indicates whether a progeny has been selected for advancing to the next stage.";;"False"
97;"task_remarks";"Short description of the execution of the task.";;"False"
98;"view_last_task_done";"Click to view status of the entry";;"False"
99;"harvest_date";"Harvest date of the progenies.";;"False"
100;"harvest_volume";"Harvest volume of the progenies";;"False"
101;"variable_name";"The  identifier of the variable and similar to the column_name";;"False"
102;"variable_abbrev";"The abbreviation or the short term for the variable";;"False"
103;"variable_prefferred_name";"The preffered name for the variable.";;"False"
104;"variable_display_name";"The readable and understandable name of the variable";;"False"
105;"variable_column_name";"The name of the column for the variable";;"False"
106;"variable_data_type";"The data type of the variable e.g. integer,string,boolean etc.";;"False"
107;"variable_size";"Size of the variable";;"False"
108;"variable_is_nullable";"Is the variable can have the value of null?";;"False"
109;"variable_default_value";"The default value of the variable.";"The suggested value of the variable.";"False"
110;"variable_empty_value";"This shows the empty value format of the variable.";;"False"
111;"variable_undefined_value";"The undefined value of the variable.";;"False"
112;"variable_description";"The explanation about the use of variable";;"False"
113;"variable_status";"The status of the variable e.g. active,inactive etc.";;"False"
114;"variable_has_ontology";"If the variable has ontology";"An ontology formally represents knowledge as a set of concepts within a domain, using a shared vocabulary to denote the types, properties and interrelationships of those concepts.";"False"
115;"variable_unit";"The unit of measure for the variable";;"False"
116;"variable_maximum_value";"The highest value the variable could have.";;"False"
117;"variable_minimum_value";"The smallest value for the variable";;"False"
118;"variable_high_critical_value";"The high value of the variable that needs urgent attention.";;"False"
119;"variable_low_critical_value";"The low value that needs urgent attention";;"False"
120;"variable_ontology_category";"The category of the variable.";;"False"
121;"variable_ontology_type";"The type of variable ontology";;"False"
122;"variable_ontology_variable";"This is the matched variable of the variable id of the variable ontology.";;"False"
123;"variable_ontology_reference";"The ontology reference of the variable";;"False"
124;"var_ontology_classification";"The ontology classification of the variable";;"False"
125;"variable_ontology_method";"The ontology method for the variable";;"False"
126;"variable_ontology_scale";"The ontology scale for the variable";;"False"
127;"variable_ontology_scale_type";"The ontology scale type for the variable";;"False"
128;"variable_ontology_scale_level";"The ontology scale level of the variable";;"False"
129;"variable_ontology_unit";"The ontology unit of the variable";;"False"
130;"variable_ontology_is_interest";"If the variable is interest?";;"False"
131;"variable_ontology_description";"The ontological description of the variable";;"False"
132;"variable_ontology_is_void";"If the variable ontology is disabled?";;"False"
133;"variable_is_deprecated";"This variable is historical. It is discourage to be used for future purposes.";;"False"
134;"variable_reference";"The bibliographical reference to the variable";"Still to work on this because this can't handle the many references of the scales. ";"False"
135;"variable_abbrev_temp";"This temporary abbrev column will hold the non-unique values added by data managers";"Abbrev column must contain unique values; this temporary abbrev column will hold the non-unique values added by data managers";"False"
136;"variable_category";"Values may include: identification, metadata, observation";;"False"
137;"variable_data_level";"Data level where the variable is applicable; can be study, entry, plot";;"False"
138;"progeny_list_title";"User-defined title of the study/progeny list.";;"False"
139;"qr_code_labels";"Generates QR Code labels containing information about the progenies in the list.";;"False"
